Abordagem,TAG,Precisão,Recall,F1,Suporte,TP,FP,FN
Regras,PRODUTO,0.92,0.45544554455445546,0.609271523178808,101,46,4,55
Regras,MARCA,1.0,0.651685393258427,0.7891156462585034,89,58,0,31
Regras,CONECTIVIDADE,1.0,0.8169014084507042,0.8992248062015504,71,58,0,13
Regras,COR,1.0,0.9111111111111111,0.9534883720930233,45,41,0,4
Regras,POTENCIA,1.0,1.0,1.0,22,22,0,0
CRF,PRODUTO,0.9587628865979382,0.9207920792079208,0.9393939393939394,101,93,4,8
CRF,MARCA,0.9879518072289156,0.9213483146067416,0.9534883720930233,89,82,1,7
CRF,CONECTIVIDADE,1.0,0.9577464788732394,0.9784172661870503,71,68,0,3
CRF,COR,0.9767441860465116,0.9333333333333333,0.9545454545454545,45,42,1,3
CRF,POTENCIA,1.0,0.9545454545454546,0.9767441860465117,22,21,0,1
spaCy NER,PRODUTO,0.9393939393939394,0.9207920792079208,0.9300000000000002,101,93,6,8
spaCy NER,MARCA,0.9204545454545454,0.9101123595505618,0.9152542372881356,89,81,7,8
spaCy NER,CONECTIVIDADE,0.9855072463768116,0.9577464788732394,0.9714285714285714,71,68,1,3
spaCy NER,COR,0.9767441860465116,0.9333333333333333,0.9545454545454545,45,42,1,3
spaCy NER,POTENCIA,0.8095238095238095,0.7727272727272727,0.7906976744186046,22,17,4,5
